# Ospedali Trasparenti — contratti pubblici di ISTITUTO ORTOPEDICO RIZZOLI (ANAC)
# 2507 contratti. Importi = valore messo a gara. Fonte: dati.anticorruzione.it
cig;data;oggetto;importo_euro;procedura;cpv;fornitore
B8AC8B5914;2025-10-17;IMPIANTO DA REVISIONE HINGE;6717460;PROCEDURA APERTA;PROTESI ORTOPEDICHE;
B7645CC8EA;2025-06-24;ORDINATIVO PER SERVIZIO INTEGRATO DI LAVA-NOLEGGIO A RIDOTTO IMPATTO AMBIENTALE PER L'ISTITUTO ORTOPEDICO RIZZOLI DI BOLOGNA E DI BAGHERIA;5648236;AFFIDAMENTO DIRETTO;;SERVIZI ITALIA S.P.A.
B8AC8B4841;2025-10-17;IMPIANTO DA REVISIONE CONSTRAINED ANALLERGICO;5272060;PROCEDURA APERTA;PROTESI ORTOPEDICHE;
B68B60BD87;2025-04-18;AFFIDAMENTO IN HOUSE DEI SERVIZI DI RETI,DATACENTER&CLOUD,SOFTWARE&PIATTAFORME, WELFARE&INTEGRAZIONI DIGITALI, ACCESSO, CSIRT-RER PER L'ISTITUTO ORTOPEDICO RIZZOLI - SOCIETA' IN HOUSE LEPIDA SCPA - PERIODO 01/01/2025 - 31/12/2027.;5173895;AFFIDAMENTO DIRETTO A SOCIETA' IN HOUSE;;Operatore individuale (persona fisica)
B8AC8BAD33;2025-10-17;IMPIANTO MODULARE DA GRANDI RESEZIONI ANALLERGICA;4927500;PROCEDURA APERTA;PROTESI ORTOPEDICHE;
9841593377;2023-05-11;RINNOVO DEL CONTRATTO DI CUI ALLA PROCEDURA APERTA PI 041873-21 PER LA FORNITURA DI SERVIZI SANITARI ACCESSORI ALL'EROGAZIONE DI PRESTAZIONI CHIRURGICHE IN SSN PRESSO OSPEDALE PRIVATO. DETERMINA SAAV 1259 DEL 11/05/2023.;3938750;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SERVIZI DI CASE DI CURA;VILLA CHIARA S.P.A.
B8AC8B69E7;2025-10-17;IMPIANTO DA REVISIONE HINGE ANALLERGICO;3744900;PROCEDURA APERTA;PROTESI ORTOPEDICHE;
B0F02CAD1E;2024-03-22;FABBISOGNO AL 05/02/2027;3275734;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;MEDIBERG SOCIETA' A RESPONSABILITA' LIMITATA
B8AC8A9F2B;2025-10-17;IMPIANTO PRIMARIO TOTALE CEMENTATO A PIATTO FISSO TIPO MEDIAL PIVOT;3188640;PROCEDURA APERTA;PROTESI ORTOPEDICHE;
A04894D6C3;2024-01-10;LAVORI DI REALIZZAZIONE DEL NUOVO REPARTO DI TERAPIA INTENSIVA DELL'ISTITUTO ORTOPEDICO RIZZOLI PRESSO L'ISTITUTO ORTOPEDICO RIZZOLI;3038501;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;LAVORI DI RIPARAZIONE E RIPRISTINO;
99163807A5;2023-06-12;PIATTAFORMA PER ATTIVITA' LIBERO PROFESSIONALE DI RICOVERO E AMBULATORIALE - TONIOLO;3000000;AFFIDAMENTO DIRETTO;SERVIZI DI CASE DI CURA;
B8AC8B8B8D;2025-10-17;IMPIANTO DA REVISIONE MONOBLOCCO HINGE ANALLERGICO;2922920;PROCEDURA APERTA;PROTESI ORTOPEDICHE;
B957DCEF8F;2025-12-01;SISTEMA DI FISSAZIONE TORACOLOMBARE POSTERIORE ANTIBATTERICO NORMED SILVER;2800000;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;;
A05DE20890;2024-06-24;RINNOVO DEL CONTRATTO PER LA FORNITURA DI SERVIZI SANITARI ACCESSORI ALL'EROGAZIONE DI PRESTAZIONI CHIRURGICHE IN SSN PRESSO OSPEDALE PRIVATO IOR VILLA CHIARA DETERMINA SAAV 1778 DEL 24/06/2024;2625384;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SERVIZI DI CASE DI CURA;
A029466B30;2023-11-10;1;2600000;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;ELETTRICITÀ;NOVA AEG S.P.A
B8AC8B7ABA;2025-10-17;IMPIANTO DA REVISIONE MONOBLOCCO HINGE;2544050;PROCEDURA APERTA;PROTESI ORTOPEDICHE;
B67F856070;2025-04-16;SERVIZIO DI MONITORAGGIO MULTIMODALE INTRAOPERATORIA DI SEGNALI NEUROFISIOLOGICI;2442700;PROCEDURA APERTA;SERVIZI OSPEDALIERI E AFFINI;E.M.S. S.R.L.
A05C9D0564;2024-07-02;LAVORI DI RIALLOCAZIONE E RIQUALIFICAZIONE DEGLI SPAZI DEDICATI ALLA ATTIVITÀ DI DAY SURGERY DELL'ISTITUTO ORTOPEDICO RIZZOLI;2440557;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;LAVORI DI RIPARAZIONE E RIPRISTINO;
B8AC8B04F5;2025-10-17;IMPIANTO PRIMARIO MONOCOMPARTIMENTALE ANALLERGICO CEMENTATO CON COMPONENTE TIBIALE METAL BACK;2379800;PROCEDURA APERTA;PROTESI ORTOPEDICHE;
B3EAADAC7F;2024-10-21;2024/2467 CONTRATTO PONTE PER LA FORNITURA DI IMPIANTI DI PROTESI D'ANCA - LOTTO 1 DITTA ADLER ORTHO;2295000;AFFIDAMENTO DIRETTO;;ADLER ORTHO S.P.A.
B8A31FFA34;2025-10-14;2025/2230 AVEC CONTRATTO PONTE 2025 / 2026 FORNITURA DI PROTESI D'ANCA LOTTO 1 DITTA ADLER HORTO;2295000;AFFIDAMENTO DIRETTO;;ADLER ORTHO S.P.A.
B8AC8AC1A9;2025-10-17;IMPIANTO PRIMARIO MONOCOMPARTIMENTALE CEMENTATO CON COMPONENTE TIBIALE METAL BACK;2078310;PROCEDURA APERTA;PROTESI ORTOPEDICHE;
9916272E83;2023-05-04;PIATTAFORMA PER ATTIVITA' LIBERO PROFESSIONALE DI RICOVERO AMBULATORIALE - VILLALBA SRL;2000000;AFFIDAMENTO DIRETTO;SERVIZI DI CASE DI CURA;
B8AC8A3A39;2025-10-17;IMPIANTO PRIMARIO TOTALE NON CEMENTATO A PIATTO MOBILE (CR E PS);1975380;PROCEDURA APERTA;PROTESI ORTOPEDICHE;
A064A062F7;2023-12-31;2023/2677 FORNITURA DISPOSITIVI MEDICI IMPIANTABILI PER INTERVENTI DI CHIRURGIA VERTEBRALE - LOTTO 3 DITTA MEDTRONIC;1800000;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;IMPIANTI ORTOPEDICI;MEDTRONIC ITALIA S.P.A.
B8AC8A5BDF;2025-10-17;IMPIANTO PRIMARIO TOTALE NON CEMENTATO A PIATTO FISSO (CR E PS);1787040;PROCEDURA APERTA;PROTESI ORTOPEDICHE;
B526578334;2025-01-10;ACQUISTO SERVIZIO DI RACCOLTA, TRASPORTO E CONFERIMENTO AD IMPIANTI DI SMALTIMENTO DEI RIFIUTI SPECIALI PERICOLOSI E NON PERICOLOSI DERIVANTI DA ATTIVITÀ SANITARIE PER L'ISTITUTO ORTOPEDICO RIZZOLI SEDI DI BOLOGNA E BAGHERIA. PERIODO 01/01/2025 - 31/12/2028. DETERMINA SAAV. N.3360 DEL 30/12/2024;1466560;AFFIDAMENTO DIRETTO;;ECO ERIDANIA SOCIETA' PER AZIONI
A0558619A5;2023-08-29;ACQUISTO PROTESI D'ANCA PER L'ISTITUTO ORTOPEDICO RIZZOLI LOTTO 5 SISTEMA COMPLETO PER PROTESI D'ANCA A MODULARITA' IMPLEMENTABILE ADLER ORTHO SPA DETERMINA SAAV 2090 DEL 29/08/2023;1426000;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;PROTESI ORTOPEDICHE;
B8AC8A8E58;2025-10-17;IMPIANTO PRIMARIO TOTALE ANALLERGICO NON CEMENTATO A PIATTO FISSO E/O MOBILE (CR E PS);1379700;PROCEDURA APERTA;PROTESI ORTOPEDICHE;
B8AC8A7D85;2025-10-17;IMPIANTO PRIMARIO TOTALE ANALLERGICO CEMENTATO A PIATTO MOBILE (CR E PS);1328600;PROCEDURA APERTA;PROTESI ORTOPEDICHE;
B4E992E778;2024-12-18;FORNITURA ENERGIA ELETTRICA MEDIA TENSIONE ANNO 2025;1180296;AFFIDAMENTO DIRETTO;;ALPERIA SMART SERVICES S.R.L.
9672763889;2023-02-22;2023-134 I.C. MEDICINALI E RADIOFARMACI 2023-2025 DITTA TAKEDA;1141034;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;
B88809D6AC;2025-10-07;FORNITURA DI ENERGIA ELETTRICA PER L'ANNO 2026 MEDIA TENSIONE;1125800;AFFIDAMENTO DIRETTO;;NOVA AEG S.P.A
9766072191;2023-03-17;SERVIZI DI MANUTENZIONE, ASSISTENZA TECNICA E SERVIZI PROFESSIONALI DEGLI APPLICATIVI UTILIZZATI IN LICENZA D'USO PRESSO IOR DETERMINA SAAV 740 DEL 17/03/2023 ENINEERING;1025363;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MANUTENZIONE DI SOFTWARE DI TECNOLOGIA DELL'INFORMAZIONE;ENGINEERING - INGEGNERIA INFORMATICA - S.P.A.
B9AB55B135;2025-12-17;FORNITURA BIENNALE DI SISTEMA DI FISSAZIONE TORACOLOMBARE POSTERIORE ANTIBATTERICO NORMED SILVER PER UU.OO CHIRURGIA VERTEBRALE;1000000;AFFIDAMENTO DIRETTO;;LOMMAR S.R.L.
B984883B0F;2025-12-10;2025/2613 AVEC: ESITO DELLA PROCEDURA NEGOZIATA NR. PN PI , 477225-25ESPLETATA AI SENSI DELL''ART. 76, COMMA 2 LETTERA B) DEL D.LGS , PER LA FORNITURA ANNUALE DI SISTEMI PROTESICI MODULARI 36/2023PER GRANDI RESEZIONI CON SUPERFICIE A RILASCIO CONTROLLATO DIIONI D'ARGENTO.;1000000;AFFIDAMENTO DIRETTO;;LINK ITALIA SPA
B8AC8AB0D6;2025-10-17;IMPIANTO PRIMARIO MONOCOMPARTIMENTALE CEMENTATO CON COMPONENTE TIBIALE ALL POLY;991340;PROCEDURA APERTA;PROTESI ORTOPEDICHE;
A04DF86DF8;2024-02-02;AFFIDAMENTO DEL SERVIZIO DI GESTIONE, MANUTENZIONE E VERIFICA DELLE APPARECCHIATURE BIOMEDICHE IN USO PRESSO L'ISTITUTO ORTOPEDICO RIZZOLI - DITTA ALTHEA DURATA 60 MESI;977795;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SERVIZI DI RIPARAZIONE E MANUTENZIONE DI ATTREZZATURE MEDICO-CHIRURGICHE;
96501156D1;2023-02-20;FORNITURA DI SERVIZI DI TRASMISSIONE DATI E VOCE SU RETI FISSE (LOTTO 1);913175;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SERVIZI TELEFONICI E DI TRASMISSIONE DATI;TIM S.P.A.
A018CEAC09;2023-08-18;SERVIZI INTEGRATI DI LAVANOLO (NOLEGGIO E SANIFICAZIONE) PROROGA DETERMINE 2035 18/08/2023 E 2060 DEL 22/08/2023;909836;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SERVIZI DI GESTIONE DI LAVANDERIE;
A025622916;2023-09-26;SERVIZIO DI SOMMINISTRAZIONE DI LAVORO TEMPORANEO PROROGA TECNICA DETERMINA SAAV 2277 DEL 26/09/2023;858333;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SERVIZI DI FORNITURA DI PERSONALE, COMPRESO PERSONALE TEMPORANEO;
B79580E016;2025-07-09;2025/1504 A.V. PROROGA TECNICA MEZZI DI OSTEOSINTESI LOTTO 17 DITTA ORTHOFIX;850797;AFFIDAMENTO DIRETTO;;ORTHOFIX S.R.L.
B84CFF8B10;2025-09-22;ATTREZZATURE AULE FORMAZIONE AUSLBO;845400;PROCEDURA APERTA;APPARECCHIATURE INFORMATICHE;
B9883A140A;2025-12-12;MATERIALE DI CANCELLERIA PER CENTRI STAMPA;841319;PROCEDURA APERTA;ARTICOLI DI CANCELLERIA ED ALTRI ARTICOLI DI CARTA;
9658740465;2023-02-15;2023-134 I.C. MEDICINALI E RADIOFARMACI 2023-2025 LOTTO 361 DITTA INFECTOPHARM;831210;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;
B8AC8AA003;2025-10-17;IMPIANTO PRIMARIO TOTALE NON CEMENTATO A PIATTO FISSO TIPO MEDIAL PIVOT;827820;PROCEDURA APERTA;PROTESI ORTOPEDICHE;
B795B10B7F;2025-07-09;2025/1504 A.V. PROROGA TECNICA MEZZI DI OSTEOSINTESI LOTTO 9 DITTA JOHNSON & JOHNSON MEDICAL S.P.A.;824147;AFFIDAMENTO DIRETTO;;JOHNSON & JOHNSON MEDICAL S.P.A.
B3EB4FA77D;2024-10-21;2024/2467 CONTRATTO PONTE PER LA FORNITURA DI IMPIANTI DI PROTESI D'ANCA - LOTTO 5 DITTA LIMACORPORATE;770000;AFFIDAMENTO DIRETTO;;LIMACORPORATE S.P.A.
B8A39D2F20;2025-10-14;2025/2230 AVEC CONTRATTO PONTE 2025 / 2026 FORNITURA DI PROTESI D'ANCA LOTTO 5 DITTA LIMACORPORATE SPA;770000;AFFIDAMENTO DIRETTO;;LIMACORPORATE S.P.A.
A0622718F1;2024-08-28;DET 2284 DEL 28/08/2024 - FORNITURA IN ACCORDO QUADRO DI STRUMENTARIO CHIRURGICO ACCESSORI E SERVIZIO DI MANUTENZIONE E SOSTITUZIONE - LOTTO 12 - DITTA ALTHEA ITALIA SPA - MANUTENZIONE;723600;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SERVIZI DI RIPARAZIONE E MANUTENZIONE DI ATTREZZATURE MEDICO-CHIRURGICHE;
B7FE05D873;2025-08-19;FORNITURA DI UN SERVIZIO QUADRIENNALE, EVENTUALMENTE RINNOVABILE PER UN ULTERIORE ANNO, DI MANUTENZIONE FULL RISK (FRI) E ASSISTENZA TECNICA E MANUTENZIONE A CHIAMATA IN ACCORDO QUADRO E RICAMBI ((RIC)AQ) PER SISTEMI DI PRODUZIONE SIEMENS AG;722510;AFFIDAMENTO DIRETTO;;SIEMENS HEALTHCARE S.R.L.
A0694AFF7F;2023-11-19;2023/2677 FORNITURA DISPOSITIVI MEDICI IMPIANTABILI PER INTERVENTI DI CHIRURGIA VERTEBRALE - LOTTO 4 DITTA NUVASIVE;700000;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;IMPIANTI ORTOPEDICI;NUVASIVE ITALIA S.R.L.
B126D867A8;2024-04-08;ACQUISTO DI N. TOMOGRAFO A RISONANZA MAGNETICA 1,5 TESLA E ACCESSORI PER LE AZIENDE SANITARIE DELLA REGIONE EMILIA-ROMAGNA PER GLI INTERVENTI RELATIVI AL PNRR M6C2 1.1 INTERVENTO PNRR M6C2 1.1 C;654494;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;GE MEDICAL SYSTEMS ITALIA S.P.A
B3EB8DED68;2024-10-21;ESITO PROCEDURA NEGOZIATA, ASI SENSI DELL'ARTICOLO 76 COMMA 2 LETT.B) DEL D. LGS PER LA FORNITURA, INSTALLAZIONE E POSA IN OPERA CHIAVI 36/2023 IN MANO DI UN SISTEMA STEREORADIOGRAFICO BIPLANARE DIGITALE DIRETTO (EOS EDGE) PER LE ESIGENZE DELLA U.O. RADIOLOGIA DELL'ISTITUTO ORTOPEDICO RIZZOLI.;650100;AFFIDAMENTO DIRETTO;;NEUROMED S.P.A.
A04A83BCE5;2024-01-22;FORNITURA IN ACQUISTO DI UN SISTEMA DI IMAGING E SISTEMA DI NAVIGAZIONE, COMPRENSIVO DI ASSISTENZA FULL-RISK DI 12 MESI, PER LE ESIGENZE DEL BLOCCO OPERATORIO IOR DETERMINA SAAV 3181 DEL 29/12/2023;647540;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;IMMAGINOGRAFIA AD USO MEDICO, DENTISTICO E VETERINARIO;
B2991CB44D;2024-07-25;DIREZIONE LAVORI E COORDINAMENTO DELLA SICUREZZA IN FASE DI ESECUZIONE RELATIVAMENTE ALL'INTERVENTO DI MIGLIORAMENTO SISMICO DELLE STRUTTURE DELL'EDIFICIO MONOBLOCCO;640283;AFFIDAMENTO DIRETTO;;STEAM S.R.L.
B290618BBB;2024-07-23;AFFIDAMENTO DEL SERVIZIO DI DIREZIONE LAVORI E COORDINAMENTO DELLA SICUREZZA IN ESECUZIONE PER L'INTERVENTO DI MIGLIORAMENTO SISMICO DELLE STRUTTURE DELL'EDIFICIO MONOBLOCCO;640283;AFFIDAMENTO DIRETTO;SERVIZI DI INGEGNERIA;STEAM S.R.L.
B29441C906;2024-07-24;CONFERIMENTO DI INCARICO PROFESSIONALE, CONSISTENTE NELLA DIREZIONE LAVORI E COORDINAMENTO DELLA SICUREZZA IN FASE DI ESECUZIONE;640283;AFFIDAMENTO DIRETTO;SERVIZI DI COLLAUDO E VERIFICA DI EDIFICI;STEAM S.R.L.
A0526DFEB9;2024-03-20;CONTRATTO PER AFFIDAMENTO IN CONCESSIONE DELLA GESTIONE DI PUBBLICO ESERCIZIO PRESSO L'IRCCS ISTITUTO ORTOPEDICO RIZZOLI DISTRIBUTORI AUTOMATICI LOTTO 3. DETERMINA SAAV N. 203 DEL 19/01/2024;613976;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;DISTRIBUTORI AUTOMATICI;
B5370EB7F4;2025-01-16;PROROGA DEL CONTRATTO RELATIVO ALL'ADESIONE CONVENZIONE INTERCENTER DEI SERVIZI INTEGRATI DI LAVANOLO;606557;AFFIDAMENTO DIRETTO;;SERVIZI OSPEDALIERI S.P.A.
A017F162BF;2023-09-13;2023/2203 CONTRATTO PONTE IN ACCORDO QUADRO PER LA FORNITURA DI PROTESI D'ANCA RELATIVI ALLA CONVENZIONE INTERCENTER - LOTTO 7 DITTA ADLER ORTHO;600000;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;PROTESI ORTOPEDICHE;
B568F06607;2025-01-29;CONCESSIONE DELLA GESTIONE DEL PARCHEGGIO NELLE AREE A PAGAMENTO DELL'IRCCS ISTITUTO ORTOPEDICO RIZZOLI DI BOLOGNA - DETERMINA SAAV N. 3261 DEL 18/12/2024. DITTA MOVEA SERVIZI SRL;600000;AFFIDAMENTO DIRETTO;;MOVEA SERVIZI S.R.L.
A06F1D6EAA;2025-12-31;RINNOVO CONTRATTUALMENTE PREVISTO DEL CONTRATTO RELATIVO ALL' ESITO DELLA PROCEDURA APERTA NR. PI 077917- 21 DIVISA IN 4 LOTTI PER L'ACQUISIZIONE DEL SERVIZIO DI HELP DESK INFORMATICO E GESTIONE TECNICA DELLE STAZIONI DI LAVORO LOTTO 3 IOR DET SAAV 2987 DEL 31/12/2025;580088;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SERVIZI DI GESTIONE DI ATTREZZATURE INFORMATICHE;
B50D85E05F;2024-12-30;2024_3193 I.C. MEDICINALI RER 2025-2027_2 DITTA TECHDOW PHARMA ITALY S.R.L.;558000;AFFIDAMENTO DIRETTO;;TECHDOW PHARMA ITALY S.R.L.
9642205747;2023-01-31;2023/269 DIFFERIMENTO SCADENZA FORNITURA MATERIALE PER INTERVENTI DI CHIRURGIA VERTEBRALE - LOTTO 2 DITTA GLOBUS;554064;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;IMPIANTI ORTOPEDICI;
96422192D6;2023-01-31;2023/269 DIFFERIMENTO SCADENZA FORNITURA MATERIALE PER INTERVENTI DI CHIRURGIA VERTEBRALE - LOTTO 2 DITTA ZIMMER DENTAL;554064;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;IMPIANTI ORTOPEDICI;
9642321701;2023-01-31;2023/269 DIFFERIMENTO SCADENZA FORNITURA MATERIALE PER INTERVENTI DI CHIRURGIA VERTEBRALE - LOTTO 2 DITTA STRYKER;554064;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;IMPIANTI ORTOPEDICI;
9641691F1A;2023-01-31;2023/269 DIFFERIMENTO SCADENZA FORNITURA MATERIALE PER INTERVENTI DI CHIRURGIA VERTEBRALE - LOTTO 2 DITTA THI;554064;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;IMPIANTI ORTOPEDICI;
9642328CC6;2023-01-31;2023/269 DIFFERIMENTO SCADENZA FORNITURA MATERIALE PER INTERVENTI DI CHIRURGIA VERTEBRALE - LOTTO 2 DITTA MEDTRONIC;554064;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;IMPIANTI ORTOPEDICI;
B18CFC67DA;2024-05-07;DET. 1177 DEL 23/04/2024 - ISTITUTO ORTOPEDICO RIZZOLI - ESITO DELLA PROCEDURA NEGOZIATA EX ART. 76 COMMA 2, LETT.B. DEL D.L.GS. 36/2023, PER LA FORNITURA DI COPERTURE/POSIZIONATORI PER LETTI DI ALLEN E KIT SUPPORTI TORACICI;541446;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;COMPAMED S.R.L.
B8E8F33C2B;2025-11-04;TRASPORTO CON CONDUCENTE CON TAXI CARD;535700;PROCEDURA APERTA;SERVIZI DI TAXI;
B8AC8AF422;2025-10-17;IMPIANTO PRIMARIO MONOCOMPARTIMENTALE ANALLERGICO CEMENTATO CON COMPONENTE TIBIALE ALL POLY;514650;PROCEDURA APERTA;PROTESI ORTOPEDICHE;
B8AC8B15C8;2025-10-17;IMPIANTO PRIMARIO MONOCOMPARTIMENTALE ANALLERGICO NON CEMENTATO CON COMPONENTE TIBIALE METAL BLACK;513920;PROCEDURA APERTA;PROTESI ORTOPEDICHE;
B4FA243823;2024-12-23;2024_3193 I.C. MEDICINALI RER 2025-2027_2 - HIKMA ITALIA;512031;AFFIDAMENTO DIRETTO;;HIKMA ITALIA S.P.A.
B12AF92894;2024-04-09;AFFIDAMENTO DEI SERVIZI DI RACCOLTA TRASPORTO E CONFERIMENTO AD IMPIANTI DI SMALTIMENTO DEI RIFIUTI SPECIALI PERICOLOSI E NON PERICOLOSI DERIVANTI DA ATTIVITÀ DELL'ISTITUTO ORTOPEDICO RIZZOLI SEDI DI BOLOGNA E BAGHERIA DETERMINA SAAV 467 DEL 15/02/2024. PERIODO 29/02/2024 - 31/12/2024.;505738;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;ECO ERIDANIA SOCIETA' PER AZIONI
A053011551;2023-12-31;2023/2677 FORNITURA DISPOSITIVI MEDICI IMPIANTABILI PER INTERVENTI DI CHIRURGIA VERTEBRALE - LOTTO 3 DITTA MEDTRONIC;500000;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;IMPIANTI ORTOPEDICI;MEDTRONIC ITALIA S.P.A.
A062186704;2023-12-31;2023/2677 FORNITURA DISPOSITIVI MEDICI IMPIANTABILI PER INTERVENTI DI CHIRURGIA VERTEBRALE - LOTTO 4 DITTA NUVASIVE;500000;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;IMPIANTI ORTOPEDICI;NUVASIVE ITALIA S.R.L.
A064A02FA6;2023-12-31;2023/2677 FORNITURA DISPOSITIVI MEDICI IMPIANTABILI PER INTERVENTI DI CHIRURGIA VERTEBRALE - LOTTO 3 DITTA GLOBUS;500000;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;IMPIANTI ORTOPEDICI;GLOBUS MEDICAL ITALY S.R.L.
B11F4C5173;2024-04-05;ACQUISTO PROTESI D'ANCA PER L'ISTITUTO ORTOPEDICO RIZZOLI LOTTO 5 SISTEMA COMPLETO PER PROTESI D'ANCA A MODULARITA' IMPLEMENTABILE ADLER ORTHO SPA DETERMINA SAAV 2090 DEL 29/08/2023.;500000;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;ADLER ORTHO S.P.A.
